x,y,concept,cluster_embed,cluster_graph
12.3332815,14.467351,a publicly traded company,3,0
12.333776,13.86961,the total value of a publicly traded company,3,0
13.095483,12.827901,a company,3,1
12.610344,15.685333,measures only the equity component of a company,3,1
12.120144,16.127478,a more comprehensive measure of a firm,3,2
11.987814,16.357859,a firm,3,2
15.490145,14.269306,common shares outstanding,3,3
15.475052,14.272344,n is the number of common shares outstanding,3,3
10.139597,12.791075,million,3,4
11.1191435,13.757935,outstanding and the closing price per share is,3,4
11.154219,13.710642,if the closing price per share rises to,3,4
11.333687,13.804885,if it drops to,3,4
14.30172,14.104381,generally resulting in a smaller number,3,5
14.344277,14.131184,the floating number of shares in the calculation,3,5
12.642532,12.336284,shares in the calculation,3,5
14.342313,14.098493,a smaller number,3,5
11.129579,13.59654,earnings per share,3,6
12.020724,13.822181,the four major categories of the income statement,3,7
12.773968,16.457926,the united states,3,7
10.826627,12.742765,preferred stock rights have precedence over common stock,3,8
12.936283,11.8501625,stock,4,8
15.4867525,14.264947,of common shares outstanding during the time period,3,6
11.28598,12.964202,shares,3,6
10.811466,12.417519,impact of stock option grants and convertible bonds,3,6
11.277931,12.935338,the dilutive effect of any instruments that could,3,6
12.871987,15.657416,earning ratio calculator,3,10
11.705259,14.041322,analysis,3,10
12.748306,15.74119,is the ratio of a company,3,1
10.725569,13.762099,share price,3,6
13.733695,16.108843,years,3,11
11.8204365,14.712253,as an example,3,11
12.143308,13.5563,instead of net income,3,12
12.2105255,13.575177,net income,3,12
15.122909,14.182506,current number of shares,3,6
12.105452,15.01451,variations on the standard trailing and forward p,3,6
15.159618,14.2197,average number of shares,3,6
11.555065,15.191789,this is the convention followed in this article,0,13
11.394615,15.1735935,followed in this article,0,13
13.235932,12.801715,of the risk and future growth in earnings,3,14
13.286444,10.146362,the market,3,14
13.297219,10.165898,the per depends on the market,3,14
12.422153,14.676417,a listed company,3,15
15.161045,13.606201,are in relation to that of other companies,3,15
12.597776,14.298289,the per of a listed company,3,15
12.9738455,11.938531,and,3,48
12.4626255,13.007564,however,3,48
12.3955555,13.515593,s fall,3,18
12.102297,14.605765,for example,3,18
14.992182,12.620992,or earnings yield of about,2,19
14.944023,12.663293,about,2,19
14.978739,12.64227,e ratio of about,2,19
14.960272,12.610212,term returns for stocks of about,2,19
12.170529,14.6507845,the s,3,20
11.516856,14.70122,the recent year end values of the s,3,20
12.165918,13.382361,through higher and more sustained earnings growth rates,3,21
12.963148,14.880933,turn,3,21
12.906895,12.769212,even in the short term,3,22
12.827211,12.847284,the short term,3,22
15.417079,11.141577,several ways,4,23
10.686419,12.858991,in cash or debt rather than in stock,3,23
15.387455,11.17089,this can influence business decisions in several ways,4,23
12.153913,13.943717,and earnings are measured in dollars per year,3,11
13.623823,16.045853,the ratio is measured in years,3,11
12.299352,13.182203,therefore,3,24
13.114875,10.686831,if earnings stay the same,3,24
11.733005,13.596506,general,3,183
11.993458,13.421353,future compared to companies with a lower price,3,183
12.52769,14.769294,that investors are expecting higher growth of company,3,183
13.729959,16.034101,e ratios over a period of several years,3,26
14.235575,14.35817,theory,3,26
11.819656,14.13135,one could formulate something of a standardized p,3,26
12.118765,10.466953,return on investment,3,27
11.087192,13.872893,the inverse of price,3,27
11.917919,13.078108,present value of growth opportunities,3,27
12.054223,13.183992,growth opportunities,3,27
12.475191,14.429963,annual rate means that the compounding frequency is,3,28
12.709322,12.765455,with time periods measured in months,3,28
11.283059,14.484658,payable up to the end of one year,3,29
11.246722,14.4555025,one year,5,29
13.446401,14.203553,it gives the interest on,3,11
13.518834,13.918448,the maximum rate of interest allowable on loans,3,30
13.543471,14.016231,interest allowable on loans,3,30
9.884762,13.08671,such as the valuation of property leases,3,30
12.677532,13.547579,that could be computed easily in their heads,3,121
13.055502,11.897213,the,3,121
13.606752,14.179096,plus compounded interest,3,32
11.4045105,13.363951,the total accumulated value,3,32
12.082471,12.661665,right,3,33
5.216211,10.786519,displaystyle a,3,33
14.6005945,14.1554165,compounding periods per year increases without limit,3,34
12.712711,13.765232,annual rate approaches an upper limit of er,3,34
14.630161,14.149085,of compounding periods per year increases without limit,3,34
12.421433,13.176516,p 0 e r,3,35
12.311122,13.38641,0 e r t,3,35
5.2055516,10.774614,displaystyle,3,36
12.351122,12.161891,delta,4,36
13.51027,14.508255,is the interest rate with compounding frequency n,3,37
14.406869,14.277693,from one compounding basis to another compounding basis,4,37
5.222083,10.791436,displaystyle n,3,38
14.59279,14.910239,an exact formula for the monthly payment,3,38
5.220337,10.787452,displaystyle c,3,44
12.435423,12.675899,frac,3,44
12.229261,12.489374,let,3,44
5.2153277,10.790124,displaystyle t,3,40
12.899715,14.187241,for a,3,40
12.947244,14.856167,return,3,46
11.811784,9.15098,rate of return,3,46
12.572962,12.76503,months,3,43
5.254311,10.825595,displaystyle m,3,43
12.927431,15.814952,ratio,3,44
11.52626,12.947685,if two or more types of deposits occur,3,45
11.571965,12.939309,deposits occur,3,45
12.106037,10.353718,rate of return on investment,3,46
12.667129,13.105144,amount of each recurring deposit is not known,3,46
12.900049,15.764471,dividend payout ratio,3,47
12.38828,13.015184,capital gains are taxed at a lower rate,4,48
12.303882,12.958643,capital growth may prefer a lower payout ratio,4,48
12.85533,15.783003,for the payout ratio is as follows,3,12
13.00389,15.440517,dividend ratio times the dpr,3,49
13.011888,15.554203,by earnings yield times the dividend payout ratio,3,49
12.167841,12.741656,sustainable growth rate,3,44
9.859722,12.110786,time,3,50
12.979956,12.526732,and length of time,3,50
9.981137,11.852061,the future,3,51
10.210809,11.751347,for money now over money in the future,3,51
12.904484,13.552899,is sometimes given in the event of default,3,52
12.883563,13.616451,the event of default,3,52
11.808047,9.134028,and internal rate of return,3,55
13.179769,14.5555105,rate,3,55
12.719333,14.373841,where p is the inflation rate,3,55
12.977732,14.2900095,due to its global macroeconomic and financial significance,3,54
11.335887,15.156901,this regard,0,54
13.066593,14.495707,its global macroeconomic and financial significance,3,55
11.805217,9.128526,internal rate of return,3,55
11.89925,12.789255,factors into account compounding frequencies of products,3,56
11.882836,13.166672,products,3,56
12.004776,13.494709,annual coupon divided by its current market price,3,57
12.865914,15.579423,is the ratio of the annual coupon amount,3,57
